"score" "frequency" "penalty" "score_prev" "duration" "trial" "item" "subject"
"829" 7.57301725605255 0.941939233066896 0 0.431981226488937 -0.0584022144173471 58.9764271804858 "patat" "s1"
"831" 6.8596149036542 2.0052121552897 1 -0.111794058982793 -0.0282847919531868 61.9764271804858 "dwergen" "s1"
"832" 6.95939851213398 -0.411565305230003 0 0.379415243223197 -0.115772246076307 70.9764271804858 "prutser" "s1"
"833" 7.49276030092238 2.11931135559565 0 -0.0796118570230933 -0.438999255947497 73.9764271804858 "kopie" "s1"
"845" 6.89365635460264 3.02294205531368 0 0.183047653977397 0.473072060383953 103.976427180486 "veiligheid" "s1"
"850" 6.83625927727707 0.978753206189612 1 -0.0748248684658632 0.0194244258672835 120.976427180486 "barbaren" "s1"
"851" 7.22402480828583 -2.74694022104704 0 0.269936022171748 0.428764435032003 124.976427180486 "heftigheid" "s1"
"858" 6.81014245011514 2.75363748589878 1 -0.0290866118284425 -0.250120298607377 138.976427180486 "buren" "s1"
"860" 6.97447891102505 0.438034052145479 0 -0.244052016698763 -0.0370490899467768 141.976427180486 "spat" "s1"
"869" 6.81892406527552 -2.92926177784099 0 -0.135867438164313 -0.102527019326287 155.976427180486 "stapper" "s1"
"NA.1" NA NA NA NA NA NA NA NA
"879" 6.78219205600679 0.451732896503641 0 0.138528797575817 0.166179151666493 178.976427180486 "souvenir" "s1"
"885" 7.32843735289516 -0.801030071991727 0 0.503579064205317 0.463512773570494 191.976427180486 "verwantschap" "s1"
"893" 7.06219163228656 -0.901113530548709 0 -0.229453217277602 -0.180691792175617 221.976427180486 "coupe" "s1"
"897" 6.69332366826995 -2.74694022104704 1 -0.0615419407224227 -0.0913119485061467 229.976427180486 "kievieten" "s1"
"901" 6.58340922215876 3.50045770019814 1 -0.175209986150323 -0.586156900283787 238.976427180486 "katten" "s1"
"902" 6.72383244082121 -0.626676684846949 1 -0.445099857177643 -0.348485248406667 239.976427180486 "ponten" "s1"
"904" 6.88755257166462 -2.23611459728105 0 -0.0309130963544728 -0.0987746697077263 243.976427180486 "cruise" "s1"
"906" 6.65286302935335 0.517546115073213 0 -0.244052016698763 -0.241443454581697 245.976427180486 "krot" "s1"
"912" 7.04664727784876 -0.00610019712183885 0 -0.314338549426933 -0.0710720671583971 255.976427180486 "wezel" "s1"
